Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Arecanut,1997,Whole Year ,KERALA,76145.0,93995,3252.4,7246719.65,23604.95,1.147857143
Black pepper,1997,Whole Year ,KERALA,173855.0,55520,3252.4,16545780.35,53895.05,0.240714286
Cashewnut,1997,Whole Year ,KERALA,96073.0,74142,3252.4,9143267.41,29782.63,0.589285714
Coconut ,1997,Whole Year ,KERALA,884344.0,5210000000,3252.4,84163018.48,274146.64,5376.054286
Tapioca,1997,Whole Year ,KERALA,132875.0,2841819,3252.4,12645713.75,41191.25,22.80357143
Arecanut,1998,Whole Year ,KERALA,73639.0,68479,3151.5,7275533.2,21355.31,0.797857143
Banana,1998,Whole Year ,KERALA,30521.0,386588,3151.5,3015474.8,8851.09,12.85714286
Black pepper,1998,Whole Year ,KERALA,182384.0,68510,3151.5,18019539.2,52891.36,0.261428571
Cardamom,1998,Whole Year ,KERALA,41449.0,4990,3151.5,4095161.2,12020.21,0.045555556
Cashewnut,1998,Whole Year ,KERALA,91268.0,51336,3151.5,9017278.4,26467.72,0.484285714
Coconut ,1998,Whole Year ,KERALA,882288.0,5132000000,3151.5,87170054.4,255863.52,5304.749286
Cotton(lint),1998,Kharif     ,KERALA,10999.0,17752,3151.5,1086701.2,3189.71,1.61
Dry chillies,1998,Whole Year ,KERALA,297.0,288,3151.5,29343.6,86.13,0.937777778
Garlic,1998,Whole Year ,KERALA,742.0,12614,3151.5,73309.6,215.18,17.0
Ginger,1998,Whole Year ,KERALA,11107.0,39362,3151.5,1097371.6,3221.03,2.93
Groundnut,1998,Kharif     ,KERALA,7021.0,5219,3151.5,693674.8,2036.09,0.62
Jowar,1998,Kharif     ,KERALA,2177.0,1108,3151.5,215087.6,631.33,0.505
Ragi,1998,Kharif     ,KERALA,1157.0,936,3151.5,114311.6,335.53,0.81
Rice,1998,Autumn     ,KERALA,120217.0,235849,3151.5,11877439.6,34862.93,1.856923077
Rice,1998,Summer     ,KERALA,57700.0,144872,3151.5,5700760.0,16733.0,2.116153846
Rice,1998,Winter     ,KERALA,174714.0,346022,3151.5,17261743.2,50667.06,1.937142857
Sesamum,1998,Kharif     ,KERALA,3303.0,1057,3151.5,326336.4,957.87,0.467272727
Sugarcane,1998,Whole Year ,KERALA,6160.0,472160,3151.5,608608.0,1786.4,64.83
Sweet potato,1998,Whole Year ,KERALA,1099.0,11924,3151.5,108581.2,318.71,11.718
Tapioca,1998,Whole Year ,KERALA,112774.0,2630155,3151.5,11142071.2,32704.46,25.51785714
Tobacco,1998,Whole Year ,KERALA,41.0,228,3151.5,4050.8,11.89,5.56
Turmeric,1998,Whole Year ,KERALA,3706.0,8034,3151.5,366152.8,1074.74,1.997857143
Arecanut,1999,Whole Year ,KERALA,81941.0,83337,2914.6,8696398.33,22124.07,0.831428571
Banana,1999,Whole Year ,KERALA,39046.0,398145,2914.6,4143951.98,10542.42,10.36285714
Black pepper,1999,Whole Year ,KERALA,198406.0,47543,2914.6,21056828.78,53569.62,0.193571429
Cardamom,1999,Whole Year ,KERALA,41491.0,6585,2914.6,4403439.83,11202.57,0.056666667
